"","V3.1","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","solubility","prediction...1.","difference"
"2832",0.122905027932961,0,0.0726256983240224,0.0837988826815642,0.0167597765363128,0.0111731843575419,0.0446927374301676,0.0558659217877095,0.00558659217877095,0.0558659217877095,0.0502793296089385,0.0502793296089385,0.0223463687150838,0.0391061452513966,0.0223463687150838,0.0558659217877095,0.167597765363128,0,0.0223463687150838,0.100558659217877,0.86,0.90215366029613,0.0421536602961302
"1865",0.126506024096386,0.0662650602409639,0.036144578313253,0.0692771084337349,0,0.0512048192771084,0.0843373493975904,0.0753012048192771,0.00903614457831325,0.0301204819277108,0.0933734939759036,0.0391566265060241,0.0150602409638554,0.0180722891566265,0.036144578313253,0.0451807228915663,0.0572289156626506,0.0120481927710843,0.0421686746987952,0.0933734939759036,0.32,0.450413400184875,0.130413400184875
"1224",0.0875,0.07,0.0225,0.0775,0.0125,0.0525,0.06,0.045,0.0375,0.0425,0.115,0.045,0.02,0.0525,0.04,0.065,0.04,0.02,0.03,0.065,0.32,0.359528112578802,0.0395281125788021
"31",0.088785046728972,0.0607476635514019,0.0186915887850467,0.0794392523364486,0.00467289719626168,0.0841121495327103,0.0373831775700935,0.0934579439252336,0.014018691588785,0.0654205607476635,0.0747663551401869,0.0841121495327103,0.0280373831775701,0.0233644859813084,0.0467289719626168,0.0233644859813084,0.0514018691588785,0,0.0327102803738318,0.088785046728972,1,0.96354668218157,0.0364533178184303
"1245",0.102040816326531,0.0537056928034372,0.0655209452201933,0.0504833512352309,0.00214822771213749,0.0644468313641246,0.0773361976369495,0.0343716433941998,0.0139634801288937,0.0472610096670247,0.110633727175081,0.0515574650912997,0.0225563909774436,0.0290010741138561,0.0365198711063373,0.0730397422126745,0.0612244897959184,0.0171858216970999,0.0236305048335124,0.0633727175080559,0.38,0.351971392893995,0.0280286071060049
"1804",0.0724381625441696,0.0671378091872792,0.0247349823321555,0.0371024734982332,0.0141342756183746,0.0600706713780919,0.0706713780918728,0.0547703180212014,0.0477031802120141,0.0371024734982332,0.148409893992933,0.0247349823321555,0.0176678445229682,0.03886925795053,0.0706713780918728,0.0477031802120141,0.068904593639576,0.0300353356890459,0.0265017667844523,0.0406360424028269,0.07,0.200704835289528,0.130704835289528
"654",0.116071428571429,0.0714285714285714,0.0416666666666667,0.0744047619047619,0.00892857142857143,0.0625,0.0208333333333333,0.110119047619048,0.0119047619047619,0.0833333333333333,0.0952380952380952,0.0446428571428571,0.0416666666666667,0.0119047619047619,0.0327380952380952,0.0327380952380952,0.0476190476190476,0.00297619047619048,0.0148809523809524,0.0744047619047619,0.69,0.799889407380762,0.109889407380762
"204",0.103896103896104,0.0606060606060606,0.025974025974026,0.051948051948052,0.025974025974026,0.0735930735930736,0.0346320346320346,0.0865800865800866,0.012987012987013,0.038961038961039,0.138528138528139,0.025974025974026,0.0303030303030303,0.038961038961039,0.051948051948052,0.038961038961039,0.0735930735930736,0.025974025974026,0.0216450216450216,0.038961038961039,0.28,0.457568404475754,0.177568404475754
"1319",0.140939597315436,0.0850111856823266,0.0402684563758389,0.0604026845637584,0.00671140939597315,0.0738255033557047,0.0357941834451902,0.0648769574944072,0.0178970917225951,0.0559284116331096,0.0850111856823266,0.0380313199105145,0.0223713646532438,0.029082774049217,0.0492170022371365,0.0447427293064877,0.0492170022371365,0.00894854586129754,0.0425055928411633,0.0492170022371365,0.17,0.402473075759932,0.232473075759932
"2960",0.0973451327433628,0.0442477876106195,0.0707964601769911,0.0353982300884956,0,0.106194690265487,0.0530973451327434,0.0353982300884956,0.0442477876106195,0.079646017699115,0.079646017699115,0.079646017699115,0.0353982300884956,0.0176991150442478,0.0353982300884956,0.0353982300884956,0.0707964601769911,0.00884955752212389,0.00884955752212389,0.0619469026548673,0.98,0.895309793743212,0.0846902062567882
"2421",0.0892857142857143,0.0580357142857143,0.0178571428571429,0.0625,0.00892857142857143,0.0714285714285714,0.0491071428571429,0.0758928571428571,0.0267857142857143,0.0446428571428571,0.0892857142857143,0.0535714285714286,0.0267857142857143,0.03125,0.0535714285714286,0.0669642857142857,0.0357142857142857,0.0267857142857143,0.0491071428571429,0.0625,0.89,0.420114466661897,0.469885533338103
"967",0.0946372239747634,0.0725552050473186,0.0220820189274448,0.0410094637223975,0.0157728706624606,0.0536277602523659,0.0788643533123028,0.0410094637223975,0.0347003154574132,0.0378548895899054,0.132492113564669,0.028391167192429,0.0189274447949527,0.0378548895899054,0.0725552050473186,0.0662460567823344,0.0536277602523659,0.0157728706624606,0.0157728706624606,0.0662460567823344,0.63,0.167184330142441,0.462815669857559
"1973",0.087719298245614,0.0771929824561404,0.0456140350877193,0.0526315789473684,0.00350877192982456,0.0771929824561404,0.0491228070175439,0.0526315789473684,0.0210526315789474,0.0456140350877193,0.0982456140350877,0.0631578947368421,0.0175438596491228,0.0385964912280702,0.0596491228070175,0.0491228070175439,0.0526315789473684,0.0210526315789474,0.0245614035087719,0.0631578947368421,0.2,0.392520520154081,0.192520520154081
"608",0.0982658959537572,0.0404624277456647,0.0260115606936416,0.0433526011560694,0.023121387283237,0.0606936416184971,0.0375722543352601,0.0838150289017341,0.0289017341040462,0.0751445086705202,0.0982658959537572,0.046242774566474,0.0202312138728324,0.0433526011560694,0.0520231213872832,0.0722543352601156,0.046242774566474,0.00867052023121387,0.0202312138728324,0.0751445086705202,0.54,0.361578735053242,0.178421264946758
"2353",0.106425702811245,0.0562248995983936,0.0441767068273092,0.0662650602409639,0.00401606425702811,0.0461847389558233,0.0783132530120482,0.0461847389558233,0.0100401606425703,0.0421686746987952,0.124497991967871,0.0461847389558233,0.0281124497991968,0.0180722891566265,0.0622489959839357,0.0562248995983936,0.0622489959839357,0.0240963855421687,0.0220883534136546,0.0562248995983936,0.83,0.478330880235522,0.351669119764478
"543",0.0889423076923077,0.0384615384615385,0.0360576923076923,0.0576923076923077,0.0168269230769231,0.0649038461538462,0.0480769230769231,0.0889423076923077,0.0264423076923077,0.0673076923076923,0.0841346153846154,0.0528846153846154,0.0264423076923077,0.0360576923076923,0.0576923076923077,0.0456730769230769,0.0600961538461538,0.0168269230769231,0.03125,0.0552884615384615,0.82,0.433013255812847,0.386986744187153
"2134",0.0994475138121547,0.0580110497237569,0.0469613259668508,0.0635359116022099,0.0165745856353591,0.0524861878453039,0.0414364640883978,0.0718232044198895,0.0359116022099447,0.0607734806629834,0.11878453038674,0.0248618784530387,0.0248618784530387,0.0303867403314917,0.0303867403314917,0.0635359116022099,0.0552486187845304,0.00828729281767956,0.0248618784530387,0.0718232044198895,0.09,0.239832861126314,0.149832861126314
